label,url_length,hostname_length,path_length,query_length,fragment_length,num_dots,num_hyphens,num_digits,num_special_chars,num_slashes,num_question_marks,num_equals,num_ampersands,num_percent_encoded,num_at_symbols,num_subdomains,hostname_entropy,path_entropy,has_ip,is_https,is_shortener,has_punycode,has_port,has_userinfo,suspicious_tld,suspicious_word_count,brand_word_count,long_url,very_long_url
1,51,21,22,0,0,3,0,2,8,4,0,0,0,0,0,2,3.5944656369614516,3.970573095811683,0,1,0,0,0,0,0,0,0,0,0
0,23,15,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.822579761842491,0.0,0,1,0,0,0,0,0,0,0,0,0
1,59,29,1,20,0,1,1,2,9,3,1,1,0,0,0,0,3.4604180636454753,0.0,0,1,0,0,0,0,0,0,0,0,0
1,60,7,2,42,0,3,0,0,13,6,1,1,0,0,0,1,2.2359263506290326,1.0,0,1,0,0,0,0,0,0,0,0,0
0,23,15,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.1395722619867223,0.0,0,1,0,0,0,0,0,0,0,0,0
0,18,10,0,0,0,1,0,3,4,2,0,0,0,0,0,0,2.8464393446710154,0.0,0,1,0,0,0,0,0,0,0,0,0
0,22,14,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.3248629576173574,0.0,0,1,0,0,0,0,0,0,0,0,0
0,19,11,0,0,0,2,0,0,5,2,0,0,0,0,0,1,2.9139770731827523,0.0,0,1,0,0,0,0,0,0,0,0,0
1,23,8,7,0,0,2,0,1,6,3,0,0,0,0,0,1,2.5,2.5216406363433186,0,1,0,0,0,0,0,0,0,0,0
1,73,54,11,0,0,2,3,0,11,5,0,0,0,0,0,1,4.04293431746209,2.8453509366224368,0,1,0,0,0,0,0,1,0,0,0
0,32,24,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3.459147917027245,0.0,0,1,0,0,0,0,0,0,0,0,0
1,38,29,1,0,0,2,1,1,7,3,0,0,0,0,0,1,3.9523029776623857,0.0,0,1,0,0,0,0,0,0,0,0,0
1,23,8,7,0,0,2,0,0,6,3,0,0,0,0,0,1,2.5,2.807354922057604,0,1,0,0,0,0,0,0,0,0,0
1,175,15,108,43,0,2,4,14,24,7,1,3,2,0,0,1,2.973557262275185,5.381019016562123,0,1,0,0,0,0,0,0,1,1,1
0,16,8,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2.75,0.0,0,1,0,0,0,0,0,0,0,0,0
1,36,16,12,0,0,1,1,0,7,4,0,0,0,0,0,0,3.5,3.084962500721156,0,1,0,0,0,0,0,0,0,0,0
1,26,17,1,0,0,2,0,2,6,3,0,0,0,0,0,1,3.6168746059562227,0.0,0,1,0,0,0,0,0,0,0,0,0
